time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,1.0949000696164011e-07,4.69173739948428e-07,10.007654792407905,0.0003446981422081663,6.283001265358388,0.0,1.4100523928985599e-05,3.961458957732524e-05,0.2551370417036589,0.015287802474294586,-0.010043077617091025,0.0,484.51261243226855,483.75715934471475,482.5424106621017,483.6948129019603
0.12000000000000001,7.888888958104034e-06,1.4679536957860133e-05,10.028480454358709,0.0011135531152834943,6.282273521994085,0.0,0.000320893043001952,0.0005311113753941957,0.43899837793855884,0.007340970019186049,-0.016666535514790057,0.0,463.4234925145784,462.90278430747765,462.8223767352533,462.19647579538594
0.18,4.8641222921607535e-05,6.998561014833038e-05,10.05684478947033,0.0012975289099426135,6.281381792908764,0.0,0.0011291967157038415,0.001344462083786227,0.5064513507262985,-0.007260429150965059,-0.011477884325601385,0.0,427.1215061578301,427.56381055243327,426.60859138905954,425.3601551756788
0.23999999999999996,0.0001560780378797193,0.00017604371501822306,10.090249878788777,0.0010897083669672014,6.280929571235868,0.0,0.0025091740424383682,0.0021588363335987254,0.607002977362276,0.0032156628076459816,-0.0006349130929237993,0.0,436.7306526440502,437.63407474967477,437.10184728139325,437.973953977827
0.3,0.0003625072357946156,0.00033371763051811654,10.133788952568144,0.0014988913992297626,6.281055060738225,0.0,0.004365525927064952,0.003134632743759746,0.8441544370354429,0.01319773749476211,0.007052269885805856,0.0,478.9937269613236,479.57784712671236,478.0465743186295,478.806383644691
0.36000000000000004,0.0006722138590495189,0.000560531026207234,10.19004201566047,0.00265308265358577,6.281421440761418,0.0,0.005912307639268258,0.0045397387408717795,1.0307977180616017,0.029183739592402246,0.004143892759994252,0.0,464.9881622728032,464.76019399197475,463.13477897185675,464.3902014480609
0.4200000000000001,0.0010558698658266008,0.0008828498457481358,10.25102415532942,0.004114319229254093,6.281490647885793,0.0,0.00686242974374897,0.006339462195641625,1.0019658156306988,0.012328168592015715,-0.005622781615323681,0.0,395.5783884109919,394.67808711294987,395.68454273419025,394.13009864738575
0.48000000000000015,0.0014993916321990037,0.0013426800067484945,10.311973681421124,0.005561839858057915,6.28176602393366,0.0,0.007919544747485996,0.00909416402211042,1.0296598516235347,0.04090998599865017,0.019679921277478037,0.0,413.4519645711798,415.6749712207211,412.8951528763576,415.4088972463678
0.5400000000000001,0.0020008265328822286,0.0020196369165879613,10.377923704428836,0.007647701464250645,6.282614225173759,0.0,0.008681893790922636,0.01371954940091539,1.1685408359251779,0.018165131065640758,-0.0002642117424129587,0.0,450.95981523772826,449.3460209729339,451.0584464793194,449.21853704080564
0.6000000000000002,0.0025318818333560705,0.0029843420866104893,10.448404081198525,0.008786865117924592,6.282828310873661,0.0,0.009010290140144084,0.018536433648802482,1.1807915674364453,0.020579223385165553,0.010302632793194216,0.0,409.09547203401144,410.0351359683863,409.3667934592683,409.58151391697913
0.6600000000000003,0.0030772470310607802,0.004278608649643544,10.521781713198655,0.010108109793745435,0.000419423551265119,0.0,0.009098564605305138,0.024732481116739348,1.265038531061798,0.024757977168652693,0.017753040757031633,0.0,433.5333494429714,434.15872654736114,432.555935884912,432.90769188996205
0.7200000000000003,0.003608454260183826,0.005997390107159806,10.60259147461506,0.012011222690705203,0.002053045512277585,0.0,0.008452936039049943,0.03274999295371839,1.4284279738219567,0.04289595576778542,0.041481068238354,0.0,458.5153808237187,460.39654246089424,456.1463448580011,457.5926763149411
0.7800000000000004,0.004057129685029417,0.008252924767328938,10.693898090025433,0.014154356266107726,0.004141812064239581,0.0,0.006234612829740657,0.04270968732113046,1.6148767995708928,0.014781919222244061,0.01611946099464444,0.0,466.5358639442349,464.55203734099473,466.5981926981635,464.3988408329786
0.8400000000000004,0.004320340627871376,0.01117838223664585,10.798456162057159,0.015265463295408566,0.005933510690248056,0.0,0.002357437158458874,0.054925942327235154,1.870007931360088,0.02510331624973832,0.04856846462480158,0.0,483.95610684915636,486.39233887590325,486.673571719434,487.4453480704051
0.9000000000000005,0.0043154521250261665,0.014825426993176589,10.915603687277287,0.016886977924336577,0.008834984601874929,0.0,-0.00284299176923866,0.06681250269007476,2.0346259739512162,0.030615375095927946,0.04793354961754838,0.0,460.612841292386,460.56397418530395,459.8229366159352,460.25950254792446
0.9600000000000005,0.003937291840720173,0.019213882804349054,11.042069975666355,0.01858600788825715,0.012416598553996572,0.0,-0.010118532901657856,0.07965743215258105,2.180642547917389,0.023272158928648073,0.07643582335430738,0.0,453.54667394006543,455.8322237356963,456.12687018607903,455.5402820599256
1.0200000000000005,0.0030066485958868956,0.02445435472375803,11.179630577784588,0.02091329146304144,0.016594809848217373,0.0,-0.021430956131813863,0.09525309431651466,2.4042554896717894,0.05911110759943786,0.050397946306630276,0.0,480.49686328447797,478.52208286581805,477.06465947771466,479.79377366589966
1.0800000000000005,0.0013349906510494234,0.030654702893288546,11.328708796016228,0.02470254681815387,0.019223994191518656,0.0,-0.03460430731908322,0.11182545094198537,2.5646566306021232,0.07021047867550678,0.02550354742670918,0.0,462.37844537659305,460.41405760888046,460.53015592223227,461.40993278691025
1.1400000000000006,-0.001090037025945058,0.03781949446197673,11.48279897712415,0.028708729505320996,0.020798918285296786,0.0,-0.0463666401025063,0.12736387329337187,2.571652971980792,0.05880866292025808,0.02769873928789613,0.0,412.82303507592104,413.01688725741053,413.6927913095752,412.6912791138781
